customer_id,internet_service_type_id,contract_type_id,payment_type_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,monthly_charges,total_charges,churn,churn_month,payment_type,contract_type,payment_type_id,monthly_charges,total_charges,contract_type_id,paperless_billing,internet_service_type,gender,senior_citizen,partner,dependents,signup_date,phone_service,multiple_lines,internet_service_type_id,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies
0027-KWYKW,2,1,1,Female,0,Yes,Yes,23,Yes,Yes,No,No,No,No,Yes,No,Yes,83.75,1849.95,No,NULL,"Electronic check",Month-to-month,1,83.75,1849.95,1,Yes,"Fiber optic",Female,0,Yes,Yes,"2020-02-21 18:07:34",Yes,Yes,2,No,No,No,No,Yes,No
0030-FNXPP,3,1,2,Female,0,No,No,3,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",No,19.85,57.2,No,NULL,"Mailed check",Month-to-month,2,19.85,57.2,1,No,None,Female,0,No,No,"2021-10-21 18:07:34",Yes,No,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
0031-PVLZI,3,1,2,Female,0,Yes,Yes,4,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",No,20.35,76.35,Yes,2022-01-31,"Mailed check",Month-to-month,2,20.35,76.35,1,No,None,Female,0,Yes,Yes,"2021-09-21 18:07:34",Yes,No,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
0032-PGELS,1,1,3,Female,0,Yes,Yes,1,No,"No phone service",Yes,No,No,No,No,No,No,30.5,30.5,Yes,2022-01-31,"Bank transfer (automatic)",Month-to-month,3,30.5,30.5,1,No,DSL,Female,0,Yes,Yes,"2021-12-21 18:07:34",No,"No phone service",1,Yes,No,No,No,No,No
0036-IHMOT,2,2,3,Female,0,Yes,Yes,55,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,103.7,5656.75,No,NULL,"Bank transfer (automatic)","One year",3,103.7,5656.75,2,Yes,"Fiber optic",Female,0,Yes,Yes,"2017-06-21 18:07:34",Yes,No,2,No,Yes,Yes,Yes,Yes,Yes
0040-HALCW,3,3,4,Male,0,Yes,Yes,54,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",No,20.4,1090.6,No,NULL,"Credit card (automatic)","Two year",4,20.4,1090.6,3,No,None,Male,0,Yes,Yes,"2017-07-21 18:07:34",Yes,No,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
0042-JVWOJ,3,2,3,Male,0,No,No,26,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Yes,19.6,471.85,No,NULL,"Bank transfer (automatic)","One year",3,19.6,471.85,2,Yes,None,Male,0,No,No,"2019-11-21 18:07:34",Yes,No,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
0042-RLHYP,3,3,3,Female,0,Yes,Yes,69,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",No,19.7,1396.9,No,NULL,"Bank transfer (automatic)","Two year",3,19.7,1396.9,3,No,None,Female,0,Yes,Yes,"2016-04-21 18:07:34",Yes,No,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
0048-LUMLS,2,2,4,Male,0,Yes,Yes,37,Yes,No,No,No,No,No,Yes,Yes,No,91.2,3247.55,No,NULL,"Credit card (automatic)","One year",4,91.2,3247.55,2,No,"Fiber optic",Male,0,Yes,Yes,"2018-12-21 18:07:34",Yes,No,2,No,No,No,No,Yes,Yes
0048-PIHNL,3,2,3,Female,0,Yes,No,49,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",No,20.45,900.9,No,NULL,"Bank transfer (automatic)","One year",3,20.45,900.9,2,No,None,Female,0,Yes,No,"2017-12-21 18:07:34",Yes,No,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
0052-DCKON,2,2,3,Male,0,Yes,No,66,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,115.8,7942.15,No,NULL,"Bank transfer (automatic)","One year",3,115.8,7942.15,2,No,"Fiber optic",Male,0,Yes,No,"2016-07-21 18:07:34",Yes,Yes,2,Yes,Yes,Yes,Yes,Yes,Yes
0052-YNYOT,3,2,1,Female,0,No,No,67,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",No,20.55,1343.4,No,NULL,"Electronic check","One year",1,20.55,1343.4,2,No,None,Female,0,No,No,"2016-06-21 18:07:34",Yes,No,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
0056-EPFBG,1,3,4,Male,0,Yes,Yes,20,No,"No phone service",Yes,No,Yes,Yes,No,No,Yes,39.4,825.4,No,NULL,"Credit card (automatic)","Two year",4,39.4,825.4,3,Yes,DSL,Male,0,Yes,Yes,"2020-05-21 18:07:34",No,"No phone service",1,Yes,No,Yes,Yes,No,No
0057-QBUQH,3,3,1,Female,0,No,Yes,43,Yes,Yes,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Yes,25.1,1070.15,No,NULL,"Electronic check","Two year",1,25.1,1070.15,3,Yes,None,Female,0,No,Yes,"2018-06-21 18:07:34",Yes,Yes,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
0058-EVZWM,2,1,3,Female,0,Yes,No,55,Yes,Yes,Yes,No,No,No,Yes,No,Yes,89.8,4959.6,No,NULL,"Bank transfer (automatic)",Month-to-month,3,89.8,4959.6,1,Yes,"Fiber optic",Female,0,Yes,No,"2017-06-21 18:07:34",Yes,Yes,2,Yes,No,No,No,Yes,No
0060-FUALY,2,1,1,Female,0,Yes,No,59,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,94.75,5597.65,No,NULL,"Electronic check",Month-to-month,1,94.75,5597.65,1,Yes,"Fiber optic",Female,0,Yes,No,"2017-02-21 18:07:34",Yes,Yes,2,Yes,Yes,No,No,Yes,No
0064-SUDOG,3,3,3,Female,0,Yes,Yes,12,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",No,20.3,224.5,No,NULL,"Bank transfer (automatic)","Two year",3,20.3,224.5,3,No,None,Female,0,Yes,Yes,"2021-01-21 18:07:34",Yes,No,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
0064-YIJGF,2,1,3,Male,0,Yes,Yes,27,Yes,Yes,No,No,No,No,No,No,Yes,75.75,1929,No,NULL,"Bank transfer (automatic)",Month-to-month,3,75.75,1929,1,Yes,"Fiber optic",Male,0,Yes,Yes,"2019-10-21 18:07:34",Yes,Yes,2,No,No,No,No,No,No
0067-DKWBL,1,1,1,Male,1,No,No,2,Yes,No,Yes,No,No,No,No,No,Yes,49.25,91.1,Yes,2022-01-31,"Electronic check",Month-to-month,1,49.25,91.1,1,Yes,DSL,Male,1,No,No,"2021-11-21 18:07:34",Yes,No,1,Yes,No,No,No,No,No
0068-FIGTF,1,2,2,Female,0,No,No,27,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,78.2,2078.95,No,NULL,"Mailed check","One year",2,78.2,2078.95,2,No,DSL,Female,0,No,No,"2019-10-21 18:07:34",Yes,No,1,No,Yes,Yes,Yes,Yes,Yes
0071-NDAFP,3,3,4,Male,0,Yes,Yes,25,Yes,Yes,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",No,25.5,630.6,No,NULL,"Credit card (automatic)","Two year",4,25.5,630.6,3,No,None,Male,0,Yes,Yes,"2019-12-21 18:07:34",Yes,Yes,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
0074-HDKDG,1,2,3,Male,0,Yes,Yes,25,Yes,No,Yes,Yes,Yes,No,No,No,Yes,61.6,1611,No,NULL,"Bank transfer (automatic)","One year",3,61.6,1611,2,Yes,DSL,Male,0,Yes,Yes,"2019-12-21 18:07:34",Yes,No,1,Yes,Yes,Yes,No,No,No
0076-LVEPS,1,1,2,Male,0,No,Yes,29,No,"No phone service",Yes,Yes,Yes,Yes,No,No,Yes,45,1242.45,No,NULL,"Mailed check",Month-to-month,2,45,1242.45,1,Yes,DSL,Male,0,No,Yes,"2019-08-21 18:07:34",No,"No phone service",1,Yes,Yes,Yes,Yes,No,No
0078-XZMHT,1,3,3,Male,0,Yes,No,72,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,85.15,6316.2,No,NULL,"Bank transfer (automatic)","Two year",3,85.15,6316.2,3,Yes,DSL,Male,0,Yes,No,"2016-01-21 18:07:34",Yes,Yes,1,No,Yes,Yes,Yes,Yes,Yes
0080-EMYVY,1,2,4,Female,0,No,No,14,Yes,No,No,Yes,No,No,No,No,No,51.45,727.85,No,NULL,"Credit card (automatic)","One year",4,51.45,727.85,2,No,DSL,Female,0,No,No,"2020-11-21 18:07:34",Yes,No,1,No,Yes,No,No,No,No
0080-OROZO,2,2,1,Female,0,No,No,35,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,99.25,3532,No,NULL,"Electronic check","One year",1,99.25,3532,2,Yes,"Fiber optic",Female,0,No,No,"2019-02-21 18:07:34",Yes,No,2,No,No,Yes,Yes,Yes,Yes
0082-LDZUE,1,1,2,Male,0,No,No,1,Yes,No,No,No,No,No,No,No,Yes,44.3,44.3,No,NULL,"Mailed check",Month-to-month,2,44.3,44.3,1,Yes,DSL,Male,0,No,No,"2021-12-21 18:07:34",Yes,No,1,No,No,No,No,No,No
0082-OQIQY,2,1,1,Male,0,No,No,29,Yes,No,No,No,No,Yes,Yes,Yes,Yes,94.2,2607.6,No,NULL,"Electronic check",Month-to-month,1,94.2,2607.6,1,Yes,"Fiber optic",Male,0,No,No,"2019-08-21 18:07:34",Yes,No,2,No,No,No,Yes,Yes,Yes
0083-PIVIK,1,2,1,Male,0,No,No,64,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,81.25,5567.55,No,NULL,"Electronic check","One year",1,81.25,5567.55,2,No,DSL,Male,0,No,No,"2016-09-21 18:07:34",Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,No
0089-IIQKO,2,1,4,Female,0,Yes,Yes,39,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,99.95,3767.4,No,NULL,"Credit card (automatic)",Month-to-month,4,99.95,3767.4,1,Yes,"Fiber optic",Female,0,Yes,Yes,"2018-10-21 18:07:34",Yes,Yes,2,No,No,No,Yes,Yes,Yes
0093-EXYQL,2,1,1,Female,1,No,No,40,Yes,No,No,No,No,No,Yes,Yes,Yes,91.55,3673.6,No,NULL,"Electronic check",Month-to-month,1,91.55,3673.6,1,Yes,"Fiber optic",Female,1,No,No,"2018-09-21 18:07:34",Yes,No,2,No,No,No,No,Yes,Yes
0093-XWZFY,2,1,4,Male,0,No,No,40,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,104.5,4036.85,Yes,2022-01-31,"Credit card (automatic)",Month-to-month,4,104.5,4036.85,1,Yes,"Fiber optic",Male,0,No,No,"2018-09-21 18:07:34",Yes,Yes,2,No,Yes,Yes,No,Yes,Yes
0094-OIFMO,2,1,1,Female,1,No,No,11,Yes,No,No,Yes,No,No,Yes,Yes,Yes,95,1120.3,Yes,2022-01-31,"Electronic check",Month-to-month,1,95,1120.3,1,Yes,"Fiber optic",Female,1,No,No,"2021-02-21 18:07:34",Yes,No,2,No,Yes,No,No,Yes,Yes
0096-BXERS,1,1,1,Female,0,Yes,No,6,Yes,Yes,No,No,No,No,No,No,No,50.35,314.55,No,NULL,"Electronic check",Month-to-month,1,50.35,314.55,1,No,DSL,Female,0,Yes,No,"2021-07-21 18:07:34",Yes,Yes,1,No,No,No,No,No,No
0096-FCPUF,1,1,2,Male,0,No,No,30,Yes,Yes,Yes,No,No,No,No,Yes,Yes,64.5,1888.45,No,NULL,"Mailed check",Month-to-month,2,64.5,1888.45,1,Yes,DSL,Male,0,No,No,"2019-07-21 18:07:34",Yes,Yes,1,Yes,No,No,No,No,Yes
0098-BOWSO,3,1,1,Male,0,No,No,27,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Yes,19.4,529.8,No,NULL,"Electronic check",Month-to-month,1,19.4,529.8,1,Yes,None,Male,0,No,No,"2019-10-21 18:07:34",Yes,No,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
0100-DUVFC,2,2,1,Male,1,Yes,No,70,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,104.8,7308.95,No,NULL,"Electronic check","One year",1,104.8,7308.95,2,Yes,"Fiber optic",Male,1,Yes,No,"2016-03-21 18:07:34",Yes,Yes,2,No,Yes,Yes,No,Yes,Yes
0103-CSITQ,2,2,3,Female,0,Yes,No,57,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,109.4,6252.7,No,NULL,"Bank transfer (automatic)","One year",3,109.4,6252.7,2,Yes,"Fiber optic",Female,0,Yes,No,"2017-04-21 18:07:34",Yes,Yes,2,No,Yes,Yes,Yes,Yes,Yes
0104-PPXDV,1,2,4,Male,0,Yes,No,58,Yes,No,No,No,Yes,No,No,No,No,50.3,2878.55,No,NULL,"Credit card (automatic)","One year",4,50.3,2878.55,2,No,DSL,Male,0,Yes,No,"2017-03-21 18:07:34",Yes,No,1,No,No,Yes,No,No,No
0106-GHRQR,1,1,3,Male,0,No,No,16,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,71.4,1212.1,No,NULL,"Bank transfer (automatic)",Month-to-month,3,71.4,1212.1,1,Yes,DSL,Male,0,No,No,"2020-09-21 18:07:34",Yes,Yes,1,No,Yes,Yes,No,No,Yes
0106-UGRDO,2,3,1,Female,0,Yes,No,69,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,116,8182.85,No,NULL,"Electronic check","Two year",1,116,8182.85,3,Yes,"Fiber optic",Female,0,Yes,No,"2016-04-21 18:07:34",Yes,Yes,2,Yes,Yes,Yes,Yes,Yes,Yes
0107-WESLM,3,1,1,Male,0,No,No,1,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Yes,19.85,19.85,Yes,2022-01-31,"Electronic check",Month-to-month,1,19.85,19.85,1,Yes,None,Male,0,No,No,"2021-12-21 18:07:34",Yes,No,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
0107-YHINA,2,1,1,Male,0,No,Yes,1,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,99.75,99.75,Yes,2022-01-31,"Electronic check",Month-to-month,1,99.75,99.75,1,Yes,"Fiber optic",Male,0,No,Yes,"2021-12-21 18:07:34",Yes,Yes,2,No,No,Yes,No,Yes,Yes
0111-KLBQG,2,1,2,Male,1,Yes,Yes,32,Yes,No,No,Yes,No,No,Yes,Yes,Yes,93.95,2861.45,No,NULL,"Mailed check",Month-to-month,2,93.95,2861.45,1,Yes,"Fiber optic",Male,1,Yes,Yes,"2019-05-21 18:07:34",Yes,No,2,No,Yes,No,No,Yes,Yes
0112-QAWRZ,2,1,3,Male,0,Yes,Yes,16,Yes,Yes,No,No,Yes,No,Yes,No,Yes,90.8,1442.2,No,NULL,"Bank transfer (automatic)",Month-to-month,3,90.8,1442.2,1,Yes,"Fiber optic",Male,0,Yes,Yes,"2020-09-21 18:07:34",Yes,Yes,2,No,No,Yes,No,Yes,No
0112-QWPNC,1,2,1,Male,0,Yes,No,49,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,84.35,4059.35,Yes,2022-01-31,"Electronic check","One year",1,84.35,4059.35,2,No,DSL,Male,0,Yes,No,"2017-12-21 18:07:34",Yes,Yes,1,Yes,No,Yes,Yes,Yes,Yes
0114-IGABW,1,3,3,Female,0,Yes,No,71,No,"No phone service",No,Yes,Yes,Yes,Yes,Yes,No,58.25,4145.9,No,NULL,"Bank transfer (automatic)","Two year",3,58.25,4145.9,3,No,DSL,Female,0,Yes,No,"2016-02-21 18:07:34",No,"No phone service",1,No,Yes,Yes,Yes,Yes,Yes
0114-PEGZZ,2,1,1,Female,0,No,No,33,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,107.55,3645.5,No,NULL,"Electronic check",Month-to-month,1,107.55,3645.5,1,No,"Fiber optic",Female,0,No,No,"2019-04-21 18:07:34",Yes,Yes,2,No,Yes,Yes,No,Yes,Yes
0114-RSRRW,3,1,3,Female,0,Yes,No,10,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Yes,19.95,187.75,No,NULL,"Bank transfer (automatic)",Month-to-month,3,19.95,187.75,1,Yes,None,Female,0,Yes,No,"2021-03-21 18:07:34",Yes,No,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
0115-TFERT,2,1,1,Male,0,Yes,No,21,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,111.2,2317.1,Yes,2022-01-31,"Electronic check",Month-to-month,1,111.2,2317.1,1,Yes,"Fiber optic",Male,0,Yes,No,"2020-04-21 18:07:34",Yes,Yes,2,No,Yes,Yes,Yes,Yes,Yes
0117-LFRMW,1,1,3,Male,0,Yes,Yes,37,No,"No phone service",Yes,Yes,Yes,No,No,No,No,40.2,1448.8,Yes,2022-01-31,"Bank transfer (automatic)",Month-to-month,3,40.2,1448.8,1,No,DSL,Male,0,Yes,Yes,"2018-12-21 18:07:34",No,"No phone service",1,Yes,Yes,Yes,No,No,No
0118-JPNOY,2,1,4,Female,1,No,No,26,Yes,No,Yes,No,No,No,Yes,No,Yes,85.8,2193.65,No,NULL,"Credit card (automatic)",Month-to-month,4,85.8,2193.65,1,Yes,"Fiber optic",Female,1,No,No,"2019-11-21 18:07:34",Yes,No,2,Yes,No,No,No,Yes,No
0121-SNYRK,1,2,2,Male,0,No,No,50,No,"No phone service",Yes,No,No,Yes,No,No,Yes,35.4,1748.9,No,NULL,"Mailed check","One year",2,35.4,1748.9,2,Yes,DSL,Male,0,No,No,"2017-11-21 18:07:34",No,"No phone service",1,Yes,No,No,Yes,No,No
0122-OAHPZ,2,1,1,Female,0,No,No,7,Yes,Yes,No,No,No,No,No,No,Yes,73.85,511.25,Yes,2022-01-31,"Electronic check",Month-to-month,1,73.85,511.25,1,Yes,"Fiber optic",Female,0,No,No,"2021-06-21 18:07:34",Yes,Yes,2,No,No,No,No,No,No
0123-CRBRT,1,3,2,Female,0,Yes,Yes,61,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,88.1,5526.75,No,NULL,"Mailed check","Two year",2,88.1,5526.75,3,No,DSL,Female,0,Yes,Yes,"2016-12-21 18:07:34",Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes
0125-LZQXK,2,1,1,Male,0,No,No,15,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,101.35,1553.95,Yes,2022-01-31,"Electronic check",Month-to-month,1,101.35,1553.95,1,Yes,"Fiber optic",Male,0,No,No,"2020-10-21 18:07:34",Yes,No,2,No,No,Yes,Yes,Yes,Yes
0128-MKWSG,1,1,2,Female,0,No,Yes,26,No,"No phone service",Yes,No,No,Yes,No,Yes,No,45.8,1147,No,NULL,"Mailed check",Month-to-month,2,45.8,1147,1,No,DSL,Female,0,No,Yes,"2019-11-21 18:07:34",No,"No phone service",1,Yes,No,No,Yes,No,Yes
0129-KPTWJ,2,1,1,Male,0,Yes,No,72,Yes,No,No,No,Yes,No,Yes,Yes,Yes,94.65,6747.35,No,NULL,"Electronic check",Month-to-month,1,94.65,6747.35,1,Yes,"Fiber optic",Male,0,Yes,No,"2016-01-21 18:07:34",Yes,No,2,No,No,Yes,No,Yes,Yes
0129-QMPDR,3,2,3,Male,0,Yes,Yes,44,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Yes,20.5,865.05,No,NULL,"Bank transfer (automatic)","One year",3,20.5,865.05,2,Yes,None,Male,0,Yes,Yes,"2018-05-21 18:07:34",Yes,No,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
0130-SXOUN,2,1,4,Male,0,No,No,66,Yes,Yes,No,Yes,No,No,No,Yes,No,89.4,5976.9,No,NULL,"Credit card (automatic)",Month-to-month,4,89.4,5976.9,1,No,"Fiber optic",Male,0,No,No,"2016-07-21 18:07:34",Yes,Yes,2,No,Yes,No,No,No,Yes
